NAME;ALT_NAME;COUNTRY;LAT;LON;ELEV;UTC
HOT SPRINGS ASOS;HOT SPRINGS ASOS;UNITED;34.29;-93.06;535;-6
JONESBORO MUNI AP;JONESBORO MUNI AP;UNITED;35.83111;-90.64639;-99999;-6
LITTLE ROCK AP ADAMS FLD;LITTLE ROCK ADAMS FLD;UNITED;34.7273;-92.2389;258;-6
MONTICELLO MUNI AP;MONTICELLO MUNI AP;UNITED;33.6361;-91.7556;290;-6
MOUNT IDA ASOS;MOUNT IDA ASOS;UNITED;34.5467;-93.57806;702;-6
MOUNTAIN HOME BAXTER AP;MOUNTAIN HOME BAXTER AP;UNITED;36.36889;-92.47028;-99999;-6
PINE BLUFF GRIDER FLD;PINE BLUFF GRIDER FLD;UNITED;34.175;-91.93472;-99999;-6
RUSSELLVILLE MUNI AP;RUSSELLVILLE MUNI AP;UNITED;35.25778;-93.09472;-99999;-6
TEXARKANA WEBB FLD;TEXARKANA WEBB FLD;UNITED;33.4536;-94.0074;361;-6
DOUGLAS BISBEE INL AP;DOUGLAS BISBEE INTL AP;UNITED;31.4583;-109.6061;4105;-7
FLAGSTAFF PULLIAM AP;FLAGSTAFF AP;UNITED;35.1441;-111.6663;7003;-7
FORT HUACHUCA;FORT HUACHUCA;UNITED;31.58833;-110.34417;-99999;-7
GRAND CANYON NP AP;GRAND CANYON NP AP;UNITED;35.94611;-112.15472;6606;-7
KINGMAN MOHAVE CO AP;KINGMAN AP;UNITED;35.2577;-113.933;3420;-7
NOGALES INTL AP;NOGALES INTL AP;UNITED;31.42083;-110.84583;-99999;-7
PAGE MUNI AP;PAGE MUNI AP;UNITED;36.92611;-111.44778;4310;-7
PHOENIX DEER VALLEY MUNI AP;PHOENIX DEER VALLEY MUNI AP;UNITED;33.68833;-112.08167;1455;-7
PHOENIX SKY HARBOR INTL AP;PHOENIX AP;UNITED;33.4277;-112.0038;1107;-7
PRESCOTT LOVE FLD;PRESCOTT LOVE FLD;UNITED;34.65167;-112.42083;-99999;-7
SAFFORD MUNI AP;SAFFORD MUNI AP;UNITED;32.85472;-109.63528;-99999;-7
SCOTTSDALE MUNI AP;SCOTTSDALE MUNI AP;UNITED;33.62278;-111.91056;1473;-7
ST JOHNS INDUSTRIAL AP;ST JOHNS INDUSTRIAL AP;UNITED;34.51833;-109.37917;-99999;-7
TUCSON INTL AP;TUCSON INTL AP;UNITED;32.1313;-110.9552;2549;-7
WINDOW ROCK AP;WINDOW ROCK AP;UNITED;35.6575;-109.06139;-99999;-7
WINSLOW MUNI AP;WINSLOW AP;UNITED;35.0281;-110.7208;4886;-7
ALTURAS MUNI AP;ALTURAS MUNI AP;UNITED;41.49139;-120.56444;-99999;-8
ARCATA EUREKA AP;ARCATA EUREKA AP;UNITED;40.97806;-124.10861;200;-8
AVALON CATALINA AP;AVALON CATALINA AP;UNITED;33.405;-118.41583;-99999;-8
BAKERSFIELD AP;BAKERSFIELD AP;UNITED;35.4344;-119.0542;489;-8
BARSTOW DAGGETT AP;DAGGETT AP;UNITED;34.8536;-116.7858;1917;-8
BISHOP AP;BISHOP AP;UNITED;37.3711;-118.358;4102;-8
BLUE CANYON AP;BLUE CANYON NYACK AP;UNITED;39.2774;-120.7102;5276;-8
BLYTHE AP;BLYTHE ASOS;UNITED;33.6186;-114.7142;395;-8
BURBANK GLENDALE PASADENA AP;BURBANK GLENDALE PASADENA AP;UNITED;34.20056;-118.3575;-99999;-8
CAMARILLO AP;CAMARILLO AP;UNITED;34.21667;-119.08333;-99999;-8
CAMPO;CAMPO;UNITED;32.6233;-116.4728;2630;-8
CARLSBAD PALOMAR AP;CARLSBAD PALOMAR AP;UNITED;33.12806;-117.27944;-99999;-8
CHINO AP;CHINO AP;UNITED;33.97528;-117.63611;-99999;-8
CONCORD BUCHANAN FLD;CONCORD BUCHANAN FLD;UNITED;37.9917;-122.055;18;-8
CORONA MUNICIPAL AP;CORONA MUNICIPAL AP;UNITED;33.89765;-117.60243;533;-8
CRESCENT CITY MCNAMARA AP;CRESCENT CITY MCNAMARA AP;UNITED;41.78028;-124.23667;-99999;-8
DESERT RESORTS RGNL AP;DESERT RESORTS RGNL AP;UNITED;33.62667;-116.15944;-99999;-8
EL CENTRO NAF;EL CENTRO NAF;UNITED;32.81667;-115.68333;-99999;-8
FRESNO YOSEMITE INTL AP;FRESNO YOSEMITE INT'L;UNITED;36.78;-119.7194;333;-8
FULLERTON MUNI AP;FULLERTON MUNI AP;UNITED;33.87194;-117.97889;-99999;-8
HANFORD MUNI AP;HANFORD MUNI AP;UNITED;36.31889;-119.62889;-99999;-8
HAWTHORNE MUNI AP;HAWTHORNE MUNI AP;UNITED;33.92278;-118.33417;-99999;-8
HAYWARD AIR TERMINAL;HAYWARD AIR TERMINAL;UNITED;37.6542;-122.115;43;-8
IMPERIAL BEACH REAM FLD NAS;IMPERIAL BEACH REAM FLD NAS;UNITED;32.56667;-117.11667;-99999;-8
IMPERIAL CO AP;IMPERIAL CO AP;UNITED;32.83417;-115.57861;-58;-8
LANCASTER WM J FOX FLD;LANCASTER ATC;UNITED;34.7411;-118.2116;2338;-8
LIVERMORE MUNI AP;LIVERMORE MUNI AP;UNITED;37.6927;-121.8144;393;-8
LONG BEACH DAUGHERTY FLD;LONG BCH DAUGHERTY AP;UNITED;33.8116;-118.1463;31;-8
LOS ALAMITOS AAF;LOS ALAMITOS AAF;UNITED;33.79;-118.05194;-99999;-8
LOS ANGELES DWTN USC CAMPUS;LOS ANGELES DWTN USC;UNITED;34.0236;-118.2911;179;-8
LOS ANGELES INTL AP;LOS ANGELES INTL AP;UNITED;33.938;-118.3888;97;-8
MADERA MUNI AP;MADERA MUNI AP;UNITED;36.98778;-120.11056;-99999;-8
MARYSVILLE YUBA CO AP;MARYSVILLE AP (ASOS);UNITED;39.1019;-121.5677;62;-8
MERCED MUNI AP;MERCED MUNI AP;UNITED;37.28472;-120.51278;152;-8
MODESTO CITY CO AP;MODESTO AP;UNITED;37.6241;-120.9505;73;-8
MOFFETT FEDERAL AIRFIELD;MOFFETT FEDERAL AIRFIELD;UNITED;37.40583;-122.04806;39;-8
MONTAGUE SISKIYOU AP;MONTAGUE SISKIYOU AP;UNITED;41.78139;-122.46806;-99999;-8
MONTEREY PENINSUL AP;MONTEREY PENINSUL AP;UNITED;36.58806;-121.84528;165;-8
MT SHASTA;MT SHASTA;UNITED;41.3325;-122.33278;3535;-8
NAPA CO AP;NAPA CO AP;UNITED;38.2102;-122.2847;14;-8
NEEDLES AP;NEEDLES AP;UNITED;34.7675;-114.6188;890;-8
OAKLAND METRO INTL AP;OAKLAND METRO INTL AP;UNITED;37.72139;-122.22083;6;-8
OCEANSIDE MUNI AP;OCEANSIDE MUNI AP;UNITED;33.21944;-117.34944;-99999;-8
ONTARIO INTL AP;ONTARIO INTL AP;UNITED;34.05611;-117.60028;949;-8
OROVILLE MUNI AP;OROVILLE MUNI AP;UNITED;39.49;-121.61833;-99999;-8
OXNARD VENTURA CO AP;OXNARD VENTURA CO AP;UNITED;34.20083;-119.20694;36;-8
PALM SPRINGS;PALM SPRINGS;UNITED;33.8275;-116.5097;425;-8
PALM SPRINGS RGNL AP;PALM SPRINGS RGNL AP;UNITED;33.82806;-116.50528;421;-8
PALMDALE AP;PALMDALE AP;UNITED;34.62944;-118.08361;2524;-8
PASO ROBLES MUNI AP;PASO ROBLES MUNI AP;UNITED;35.6697;-120.6283;810;-8
RAMONA AP;RAMONA AP;UNITED;33.0375;-116.91583;-99999;-8
RED BLUFF MUNI AP;RED BLUFF MUNI AP;UNITED;40.1519;-122.2536;353;-8
REDDING MUNI AP;REDDING AP;UNITED;40.5175;-122.2986;497;-8
RIVERSIDE MUNI AP;RIVERSIDE MUNI AP;UNITED;33.95194;-117.43861;805;-8
SACRAMENTO EXECUTIVE AP;SACRAMENTO AP ASOS;UNITED;38.5069;-121.495;15;-8
SACRAMENTO METRO AP;SACRAMENTO METRO AP;UNITED;38.69556;-121.58972;23;-8
SALINAS MUNICIPAL AP;SALINAS AP;UNITED;36.6636;-121.6081;74;-8
SAN DIEGO BROWN FLD;SAN DIEGO BROWN FLD;UNITED;32.57222;-116.97944;515;-8
SAN DIEGO LINDBERGH FLD;SAN DIEGO WSO AP;UNITED;32.7336;-117.1831;15;-8
SAN DIEGO MONTGOMERY FLD;SAN DIEGO MONTGOMERY FLD;UNITED;32.81583;-117.13944;417;-8
SAN FRANCISCO INTL AP;SAN FRANCISCO INTL AP;UNITED;37.6197;-122.3647;8;-8
SAN JOSE;SAN JOSE;UNITED;37.3591;-121.924;51;-8
SAN LUIS OBISPO AP;SAN LUIS OBISPO AP;UNITED;35.23722;-120.64139;200;-8
SAN SIMEON PT PIEDRAS BLANCAS;SAN SIMEON PT PIEDRAS BLANCAS;UNITED;35.66556;-121.28472;59;-8
SANDBERG;SANDBERG;UNITED;34.7436;-118.7242;4510;-8
SANTA ANA JOHN WAYNE AP;SANTA ANA JOHN WAYNE AP;UNITED;33.68;-117.86639;-99999;-8
SANTA BARBARA MUNI AP;SANTA BARBARA MUNI AP;UNITED;34.4258;-119.8425;9;-8
SANTA MARIA PUBLIC AP;SANTA MARIA PUBLIC AP;UNITED;34.8994;-120.4486;242;-8
SANTA MONICA MUNI AP;SANTA MONICA WB AP;UNITED;34.01583;-118.45139;174;-8
SANTA ROSA SONOMA CO AP;SANTA ROSA SONOMA CO AP;UNITED;38.5038;-122.8102;114;-8
SOUTH LAKE TAHOE AP;SOUTH LAKE TAHOE AP;UNITED;38.8983;-119.9947;6314;-8
STOCKTON METRO AP;STOCKTON AP;UNITED;37.8891;-121.2258;26;-8
UKIAH MUNI AP;UKIAH MUNI AP;UNITED;39.12583;-123.20083;601;-8
VACAVILLE NUT TREE AP;VACAVILLE NUT TREE AP ASOS;UNITED;38.3775;-121.9575;109;-8
VAN NUYS AP;VAN NUYS AP;UNITED;34.20972;-118.48917;770;-8
WATSONVILLE MUNI AP;WATSONVILLE MUNI AP;UNITED;36.93583;-121.78861;-99999;-8
AKRON WASHINGTON CO AP;AKRON WASHINGTON CO AP;UNITED;40.16667;-103.21667;4663;-7
ALAMOSA SAN LUIS AP;ALAMOSA-BERGMAN FIELD;UNITED;37.4389;-105.8613;7533;-7
ASPEN PITKIN CO AP;ASPEN ASOS;UNITED;39.23;-106.87056;7720;-7
BULLSEYE AUX AIRFIELD;BULLSEYE AUX AIRFIELD;UNITED;38.76667;-104.3;6030;-7
BURLINGTON CARSON AP;BURLINGTON CARSON AP;UNITED;39.24472;-102.28417;4192;-7
COLORADO SPRINGS MUNI AP;COLORADO SPGS MUNI AP;UNITED;38.81;-104.6884;6181;-7
CORTEZ MONTEZUMA COUNTY AP;CORTEZ ASOS;UNITED;37.30694;-108.62639;5910;-7
CRAIG MOFFAT COUNTY AP;CRAIG ASOS;UNITED;40.49278;-107.52417;6190;-7
DENVER CENTENNIAL AP;DENVER CENTENNIAL AP;UNITED;39.57028;-104.84889;5883;-7
DENVER INTL AP;DENVER INTL AP;UNITED;39.8328;-104.6575;5414;-7
DURANGO LA PLATA CO AP;DURANGO ASOS;UNITED;37.14306;-107.76028;6670;-7
GRAND JUNCTION WALKER FLD;GRAND JUNCTION REGIONAL AP;UNITED;39.1342;-108.54;4858;-7
LA JUNTA MUNI AP;LA JUNTA MUNICIPAL AP;UNITED;38.0494;-103.5122;4194;-7
LAMAR MUNI AP;LAMAR MUNI AP;UNITED;38.07;-102.68806;-99999;-7
LEADVILLE LAKE CO AP;LEADVILLE LAKE CO AP;UNITED;39.22917;-106.31694;-99999;-7
LIMON WSMO;LIMON WSMO;UNITED;39.18944;-103.71583;5364;-7
MEEKER AIRPORT;MEEKER ASOS;UNITED;40.04417;-107.88861;6366;-7
MONTROSE REGIONAL AP;MONTROSE ASOS;UNITED;38.50583;-107.89889;5720;-7
PUEBLO MEM AP;PUEBLO MEM AP;UNITED;38.2901;-104.4983;4720;-7
RIFLE GARFIELD COUNTY AP;RIFLE ASOS;UNITED;39.52778;-107.71972;5522;-7
SPRINGFIELD COMANCHE;SPRINGFIELD COMANCHE;UNITED;37.28333;-102.61389;4383;-7
TRINIDAD PERRY STOKES AP;TRINIDAD AP;UNITED;37.26222;-104.33778;5741;-7
BRIDGEPORT SIKORSKY MEM AP;BRIDGEPORT SIKORSKY AP;UNITED;41.15833;-73.12889;5;-5
DANBURY MUNI AP;DANBURY MUNI AP;UNITED;41.37139;-73.48278;-99999;-5
GROTON NEW LONDON AP;GROTON NEW LONDON AP;UNITED;41.3275;-72.04944;10;-5
HARTFORD BRADLEY INTL AP;HARTFORD;UNITED;41.9381;-72.6825;190;-5
HARTFORD BRAINARD FLD;HARTFORD BRAINARD FLD;UNITED;41.73611;-72.65056;19;-5
MERIDEN MARKHAM MUNI AP;MERIDEN MARKHAM MUNI AP;UNITED;41.50972;-72.82778;-99999;-5
NEW HAVEN TWEED AP;NEW HAVEN TWEED AP;UNITED;41.26389;-72.88722;3;-5
WILLIMANTIC WINDHAM AP;WILLIMANTIC WINDHAM AP;UNITED;41.74194;-72.18361;-99999;-5
GEORGETOWN SUSSEX CO AP;GEORGETOWN SUSSEX CO AP;UNITED;38.68917;-75.35917;-99999;-5
WILMINGTON NEW CASTLE CO AP;WILMINGTON NEW CASTLE CO AP;UNITED;39.6728;-75.6008;79;-5
APALACHICOLA AP;APALACHICOLA AP;UNITED;29.73333;-85.03333;19;-5
BOCA RATON AP;BOCA RATON AP;UNITED;26.37833;-80.1075;-99999;-5
BONIFAY TRI CO AP;BONIFAY TRI CO AP;UNITED;30.84583;-85.60139;-99999;-6
BROOKSVILLE HERNANDO CO AP;BROOKSVILLE HERNANDO CO AP;UNITED;28.47361;-82.45444;-99999;-5
CHACTAW NOLF MILTON;CHACTAW NOLF MILTON;UNITED;30.50694;-86.95972;-99999;-6
CRESTVIEW BOB SIKES AP;CRESTVIEW BOB SIKES AP;UNITED;30.77972;-86.5225;190;-6
CROSS CITY AP;CROSS CITY AP;UNITED;29.63333;-83.10528;38;-5
DAYTONA BEACH INTL AP;DAYTONA BEACH INTL AP;UNITED;29.1828;-81.0483;31;-5
DESTIN FT WALTON AP;DESTIN FT WALTON AP;UNITED;30.4;-86.47167;-99999;-6
FT LAUDERDALE EXECUTIVE AP;FT LAUDERDALE EXECUTIVE AP;UNITED;26.19694;-80.17083;-99999;-5
FT LAUDERDALE HOLLYWOOD AP;FT LAUDERDALE INTL AP;UNITED;26.0719;-80.1536;11;-5
FT MYERS PAGE FLD AP;FT MYERS PAGE FLD AP;UNITED;26.585;-81.8614;15;-5
FT MYERS SW FL RGNL AP;FT MYERS SW FL RGNL AP;UNITED;26.53611;-81.755;31;-5
FT PIERCE ST LUCIE CO INTL AP;FT PIERCE ST LUCIE CO INTL AP;UNITED;27.49806;-80.37667;24;-5
GAINESVILLE RGNL AP;GAINESVILLE RGNL AP;UNITED;29.6919;-82.2755;123;-5
HOLLYWOOD NORTH PERRY AP;HOLLYWOOD NORTH PERRY AP;UNITED;25.99889;-80.24111;-99999;-5
JACKSON WHITEHOUSE NOLF;JACKSON WHITEHOUSE NOLF;UNITED;30.35028;-81.88306;-99999;-5
JACKSONVILLE CRAIG MUNI AP;JACKSONVILLE CRAIG AP;UNITED;30.3361;-81.5147;41;-5
JACKSONVILLE INTL AP;JACKSONVILLE INTL AP;UNITED;30.495;-81.6936;26;-5
KEY WEST INTL AP;KEY WEST INTL AP;UNITED;24.555;-81.75222;4;-5
LEESBURG MUNI AP;LEESBURG MUNI AP;UNITED;28.82083;-81.80972;-99999;-5
MARATHON AP;MARATHON AP;UNITED;24.72583;-81.05167;8;-5
MARIANNA MUNI AP;MARIANNA MUNI AP;UNITED;30.83556;-85.18389;-99999;-6
MELBOURNE INTL AP;MELBOURNE INTERNATIONAL AIRPOR;UNITED;28.10111;-80.64389;27;-5
MIAMI INTL AP;MIAMI INTL AP;UNITED;25.7905;-80.3163;29;-5
MIAMI KENDALL TAMIAMI EXEC AP;MIAMI KENDALL TAMIAMI EXEC AP;UNITED;25.6475;-80.43306;-99999;-5
MIAMI OPA LOCKA AP;MIAMI OPA LOCKA AP;UNITED;25.90694;-80.28028;10;-5
NAPLES MUNI AP;NAPLES MUNICIPAL AP;UNITED;26.1522;-81.7752;9;-5
