NAME;ALT_NAME;COUNTRY;LAT;LON;ELEV;UTC
COLUMBUS METRO AP;COLUMBUS METO AP.;UNITED;32.5161;-84.9422;392;-5
GAINESVILLE GILMER AP;GAINESVILLE GILMER AP;UNITED;34.27194;-83.83028;-99999;-5
MACON MIDDLE GA RGNL AP;MACON MIDDLE GA AP;UNITED;32.6847;-83.6527;343;-5
PEACHTREE CITY FALCON FLD;PEACHTREE CITY FALCON FLD;UNITED;33.35528;-84.56694;798;-5
ROME R B RUSSELL AP;ROME R B RUSSELL AP;UNITED;34.34778;-85.16111;639;-5
SAVANNAH INTL AP;SAVANNAH INTL AP;UNITED;32.13;-81.21;46;-5
VALDOSTA RGNL AP;VALDOSTA RGNL AP;UNITED;30.7825;-83.27667;198;-5
BRADSHAW AAF;BRADSHAW AAF;UNITED;19.76;-155.55361;5900;-10
EWA KALAELOA AP;EWA KALAELOA AP;UNITED;21.31667;-158.06667;-99999;-10
HILO INTL AP;HILO INTL AP 87;UNITED;19.7191;-155.053;38;-10
HONOLULU INTL AP;HONOLULU WSFO AP 703;UNITED;21.32389;-157.92944;7;-10
KAHULUI AP;KAHULUI WSO AP 398;UNITED;20.89972;-156.42861;51;-10
KAILUA KONA KE-AHOLE AP;KAILUA KONA KE-AHOLE AP;UNITED;19.73556;-156.04889;-99999;-10
LIHUE WSO AP 1020.1;LIHUE WSO AP 1020.1;UNITED;21.98389;-159.34056;100;-10
MOLOKAI AP;MOLOKAI AP 524;UNITED;21.1545;-157.0961;443;-10
AMES MUNICIPAL AP;AMES MUNICIPAL AIRPORT;UNITED;41.99056;-93.61889;955;-6
BURLINGTON MUNI AP;BURLINGTON MUNI AP;UNITED;40.78333;-91.12528;692;-6
CEDAR RAPIDS MUNI AP;CEDAR RAPIDS AP;UNITED;41.8833;-91.7166;868;-6
DAVENPORT MUNI AP;DAVENPORT MUNI AP;UNITED;41.61389;-90.59139;750;-6
DES MOINES INTL AP;DES MOINES AP;UNITED;41.5338;-93.653;957;-6
DUBUQUE RGNL AP;DUBUQUE WSO AP;UNITED;42.39778;-90.70361;1056;-6
ESTHERVILLE MUNICIPAL AP;ESTHERVILLE MUNICIPAL ARPT;UNITED;43.40111;-94.74722;1317;-6
IOWA CITY MUNI AP;IOWA CITY MUNI AP;UNITED;41.63278;-91.54306;650;-6
LAMONI MUNICIPAL AP;LAMONI MUNI AP;UNITED;40.6306;-93.9008;1135;-6
MARSHALLTOWN MUNICIPAL AP;MARSHALLTOWN MUNI AP;UNITED;42.11056;-92.91611;974;-6
MASON CITY MUNI AP;MASON CITY MUNI AP;UNITED;43.1544;-93.3269;1225;-6
OTTUMWA INDUSTRIAL AP;OTTUMWA INDUSTRIAL AP;UNITED;41.1077;-92.4466;842;-6
SIOUX CITY GATEWAY AP;SIOUX CITY AP;UNITED;42.3913;-96.3791;1095;-6
SPENCER MUNI AP;SPENCER MUNI AP;UNITED;43.16444;-95.20167;-99999;-6
WATERLOO MUNI AP;WATERLOO MUNICIPAL AP;UNITED;42.5544;-92.4011;868;-6
BOISE AIR TERMINAL;BOISE AIR TERMINAL;UNITED;43.5666;-116.2405;2814;-7
BURLEY MUNI AP;BURLEY MUNI AP;UNITED;42.5416;-113.7661;4142;-7
CHALLIS AP;CHALLIS AP;UNITED;44.52278;-114.215;5033;-7
IDAHO FALLS FANNING FLD;IDAHO FALLS FANNING FLD;UNITED;43.51639;-112.06722;4729;-7
JEROME CO AP;JEROME CO AP;UNITED;42.72667;-114.45639;-99999;-7
LEWISTON NEZ PERCE CO AP;LEWISTON AP;UNITED;46.3747;-117.0156;1436;-8
LOWELL THREE RIVERS;LOWELL THREE RIVERS;UNITED;46.14417;-115.59639;1480;-8
MCCALL AP;MCCALL AP;UNITED;44.88889;-116.10167;5013;-7
MULLAN PASS VOR/DME;MULLAN PASS VOR/DME;UNITED;47.45694;-115.645;6028;-8
POCATELLO RGNL AP;POCATELLO RGNL AP;UNITED;42.9202;-112.5711;4478;-7
REXBURG MADISON CO AP;REXBURG MADISON CO AP;UNITED;43.83389;-111.80444;-99999;-7
STANLEY RS;STANLEY RS;UNITED;44.17083;-114.92722;6495;-7
TWIN FALLS SUN VLY RGNL AP;TWIN FALLS SUN VLY RGNL AP;UNITED;42.48194;-114.48694;-99999;-7
CAHOKIA ST LOUIS AP;CAHOKIA ST LOUIS AP;UNITED;38.57139;-90.15722;413;-6
CARBONDALE SOUTHERN IL AP;CARBONDALE SOUTHERN IL AP;UNITED;37.77972;-89.24972;406;-6
CHAMPAIGN WILLARD AP;CHAMPAIGN WILLARD AP;UNITED;40.03972;-88.27778;-99999;-6
CHICAGO AURORA MUNI AP;CHICAGO AURORA MUNI AP;UNITED;41.77;-88.48139;710;-6
CHICAGO MIDWAY AP;CHICAGO MIDWAY AP 3SW;UNITED;41.78611;-87.75222;612;-6
CHICAGO OHARE INTL AP;CHICAGO O'HARE AIRPORT;UNITED;41.995;-87.9336;662;-6
CHICAGO PALWAUKEE AP;CHICAGO PALWAUKEE AP;UNITED;42.12083;-87.90472;636;-6
CHICAGO WAUKEGAN RGNL AP;CHICAGO WAUKEGAN RGNL AP;UNITED;42.41667;-87.86667;-99999;-6
DECATUR AP;DECATUR AP;UNITED;39.83444;-88.86556;675;-6
LAWRENCEVILLE INTL AP;LAWRENCEVILLE INTL AP;UNITED;38.76417;-87.60556;429;-6
MATTOON COLES CO AP;MATTOON COLES CO AP;UNITED;39.47806;-88.28028;-99999;-6
MOLINE QUAD CITY INTL AP;MOLINE WSO AP;UNITED;41.46528;-90.52333;592;-6
PEORIA GTR PEORIA AP;PEORIA INTERNATIONAL AP;UNITED;40.6675;-89.6839;650;-6
QUINCY RGNL AP;QUINCY RGNL AP;UNITED;39.93694;-91.19194;769;-6
ROCKFORD GTR ROCKFORD AP;ROCKFORD AP;UNITED;42.1927;-89.093;730;-6
SPRINGFIELD CAPITAL AP;SPRINGFIELD LINCOLN AP;UNITED;39.8447;-89.6839;594;-6
WEST CHICAGO DUPAGE AP;WEST CHICAGO DUPAGE AP;UNITED;41.91444;-88.24639;754;-6
BLOOMINGTON MONROE CO AP;BLOOMINGTON MONROE CO AP;UNITED;39.13333;-86.61667;844;-5
EVANSVILLE REGIONAL AP;EVANSVILLE REGIONAL AP;UNITED;38.0441;-87.5205;400;-6
FT WAYNE INTL AP;FORT WAYNE AP;UNITED;40.9705;-85.2063;791;-5
GOSHEN MUNI AP;GOSHEN AP;UNITED;41.5333;-85.7833;830;-5
INDIANAPOLIS EAGLE CREEK AP;INDIANAPOLIS EAGLE CREEK AP;UNITED;39.825;-86.29583;-99999;-5
INDIANAPOLIS INTL AP;INDIANAPOLIS INTL AP;UNITED;39.7318;-86.2788;790;-5
LAFAYETTE PURDUE UNIV AP;LAFAYETTE PURDUE UNIV AP;UNITED;40.41222;-86.93694;599;-5
MUNCIE DELAWARE CO AP;MUNCIE DELAWARE CO AP;UNITED;40.23417;-85.39361;-99999;-5
SHELBYVILLE MUNI AP;SHELBYVILLE MUNI AP;UNITED;39.57806;-85.80333;-99999;-5
SOUTH BEND MICHIANA RGNL AP;SOUTH BEND AP;UNITED;41.7072;-86.3163;773;-5
TERRE HAUTE HULMAN RGNL AP;TERRE HAUTE HULMAN RGNL AP;UNITED;39.45194;-87.30889;575;-5
VALPARAISO PORTER CO MUNI AP;VALPARAISO PORTER CO MUNI AP;UNITED;41.4525;-87.00583;-99999;-6
CHANUTE MARTIN JOHNSON AP;CHANUTE MARTIN JOHNSON AP;UNITED;37.67028;-95.48417;-99999;-6
CONCORDIA MUNI AP;CONCORDIA ASOS;UNITED;39.5514;-97.6508;1469;-6
DODGE CITY RGNL AP;DODGE CITY RGNL AP;UNITED;37.7686;-99.9678;2582;-6
EMPORIA MUNI AP;EMPORIA ASOS;UNITED;38.32917;-96.19472;1196;-6
FT RILEY MARSHALL AAF;FT RILEY MARSHALL AAF;UNITED;39.05;-96.76667;-99999;-6
FT RILEY MULTIPLE PURPOSE RNG;FT RILEY MULTIPLE PURPOSE RNG;UNITED;39.29417;-96.92639;1264;-6
GARDEN CITY RGNL AP;GARDEN CITY RGNL AP;UNITED;37.92722;-100.72472;2882;-6
GOODLAND RENNER FLD;GOODLAND RENNER FLD;UNITED;39.36722;-101.69333;3656;-7
HILL CITY MUNI AP;HILL CITY MUNI AP;UNITED;39.37556;-99.82972;2188;-6
HUTCHINSON MUNI AP;HUTCHINSON MUNI AP;UNITED;38.06528;-97.86056;-99999;-6
LAWRENCE MUNI AP;LAWRENCE ASOS;UNITED;39.00778;-95.21167;832;-6
MANHATTAN MUNI AP;MANHATTAN ASOS;UNITED;39.1346;-96.6788;1056;-6
MEDICINE LODGE;MEDICINE LODGE 1E;UNITED;37.2839;-98.5528;1535;-6
OLATHE JOHNSON CO AP;OLATHE JOHNSON CO AP;UNITED;38.83167;-94.88972;-99999;-6
OLATHE JOHNSON CO EXEC AP;OLATHE JOHNSON CO EXEC AP;UNITED;38.85;-94.73917;1070;-6
PARSONS TRI CITY AP;PARSONS TRI CITY AP;UNITED;37.32778;-95.50417;869;-6
RUSSELL MUNI AP;RUSSELL MUNI AP;UNITED;38.87611;-98.80917;-99999;-6
TOPEKA FORBES FLD;TOPEKA FORBES FLD;UNITED;38.95028;-95.66389;1067;-6
TOPEKA MUNI AP;TOPEKA ASOS;UNITED;39.0725;-95.6261;876;-6
WICHITA JABARA AP;WICHITA JABARA AP;UNITED;37.74611;-97.22111;-99999;-6
WICHITA MID-CONTINENT AP;WICHITA MID-CONTINENT;UNITED;37.6475;-97.43;1321;-6
WINFIELD STROTHER FLD AP;WINFIELD STROTHER FLD AP;UNITED;37.16806;-97.03694;1150;-6
BOWLING GREEN WARREN CO AP;BOWLING GREEN RGNL AP;UNITED;36.9647;-86.4238;528;-6
CINCINNATI NORTHERN KY AP;COVINGTON WSO;UNITED;39.04306;-84.67167;869;-5
FRANKFORT CAPITAL CITY AP;FRANKFORT CAPITAL CITY AP;UNITED;38.18472;-84.90333;-99999;-5
JACKSON JULIAN CARROLL AP;JACKSON WSO;UNITED;37.59139;-83.31444;1365;-5
LEXINGTON BLUEGRASS AP;LEXINGTON BLUEGRASS AP;UNITED;38.0408;-84.6058;980;-5
LONDON CORBIN AP;LONDON FAA AP;UNITED;37.08722;-84.07694;1188;-5
LOUISVILLE BOWMAN FLD;LOUISVILLE BOWMAN FLD;UNITED;38.22806;-85.66361;540;-5
LOUISVILLE INTL AP;LOUISVILLE INTL AP;UNITED;38.1811;-85.7391;488;-5
PADUCAH BARKLEY RGNL AP;PADUCAH BARKLEY AP;UNITED;37.0563;-88.7744;413;-6
ALEXANDRIA INTL AP;ALEXANDRIA INTL AP;UNITED;31.33472;-92.55861;84;-6
BATON ROUGE RYAN AP;BATON ROUGE METRO AP;UNITED;30.5372;-91.1469;64;-6
BOOTHVILLE ASOS;BOOTHVILLE ASOS;UNITED;29.333;-89.4075;3;-6
FT POLK - SELF STRIP;FT POLK - SELF STRIP;UNITED;31.1136;-92.9656;374;-6
FT POLK FULLERTON LNDG STRIP;FT POLK FULLERTON LNDG STRIP;UNITED;31.15;-92.96667;310;-6
LAFAYETTE RGNL AP;LAFAYETTE FCWOS;UNITED;30.205;-91.9875;38;-6
LAKE CHARLES RGNL AP;LAKE CHARLES AP;UNITED;30.12472;-93.22833;9;-6
MONROE REGIONAL AP;MONROE REGIONAL AP;UNITED;32.5155;-92.0405;79;-6
NEW IBERIA ACA;NEW IBERIA AP ACADIANA RGNL;UNITED;30.0375;-91.88389;24;-6
NEW ORLEANS INTL AP;NEW ORLEANS AP;UNITED;29.9933;-90.2511;4;-6
NEW ORLEANS LAKEFRONT AP;NEW ORLEANS LKFRNT AP;UNITED;30.0494;-90.0288;9;-6
PEASON RIDGE RANGE;PEASON RIDGE RANGE;UNITED;31.4;-93.28333;-99999;-6
SALT POINT;SALT POINT;UNITED;29.56222;-91.52556;-99999;-6
SHREVEPORT DWTN AP;SHREVEPORT DWTN AP;UNITED;32.54278;-93.745;179;-6
SHREVEPORT RGNL AP;SHREVEPORT AP;UNITED;32.4472;-93.8244;254;-6
SLIDELL AP;SLIDELL AP;UNITED;30.34333;-89.82222;27;-6
TALLULAH VICKSBURG AP;TALLULAH VICKSBURG RGN;UNITED;32.35;-91.02778;86;-6
VENICE PHI HELIPORT;VENICE PHI HELIPORT;UNITED;29.26194;-89.36361;-99999;-6
BEDFORD HANSCOM FLD;BEDFORD HANSCOM FLD;UNITED;42.47;-71.28944;-99999;-5
BEVERLY MUNI AP;BEVERLY MUNI AP;UNITED;42.58417;-70.9175;-99999;-5
BOSTON LOGAN INTL AP;BOSTON;UNITED;42.3606;-71.0106;12;-5
CHATHAM MUNI AP;CHATHAM MUNI AP;UNITED;41.6875;-69.99333;-99999;-5
FITCHBURG MUNI AP;FITCHBURG MUNI AP;UNITED;42.55194;-71.75583;-99999;-5
HYANNIS BARNSTABLE MUNI AP;HYANNIS BARNSTABLE MUNI AP;UNITED;41.66861;-70.28;-99999;-5
LAWRENCE MUNI AP;LAWRENCE MUNI AP;UNITED;42.71722;-71.12389;-99999;-5
NANTUCKET MEM AP;NANTUCKET MEM AP;UNITED;41.25306;-70.06083;-99999;-5
NEW BEDFORD MUNI AP;NEW BEDFORD MUNI AP;UNITED;41.67639;-70.95833;-99999;-5
NORTH ADAMS HARRIMAN AP;NORTH ADAMS HARRIMAN AP;UNITED;42.7;-73.16667;655;-5
NORWOOD MEM AP;NORWOOD MEM AP;UNITED;42.19083;-71.17361;50;-5
ORANGE MUNI AP;ORANGE MUNI AP;UNITED;42.57;-72.29111;-99999;-5
PITTSFIELD MUNI AP;PITTSFIELD MUNI AP;UNITED;42.42722;-73.28917;-99999;-5
PLYMOUTH MUNI AP;PLYMOUTH MUNI AP;UNITED;41.90972;-70.72944;-99999;-5
TAUNTON MUNI AP;TAUNTON MUNI AP;UNITED;41.87556;-71.02111;-99999;-5
VINEYARD HAVEN AP;VINEYARD HAVEN AP;UNITED;41.39306;-70.615;-99999;-5
WESTFIELD BARNES MUNI AP;WESTFIELD BARNES MUNI AP;UNITED;42.15778;-72.71611;-99999;-5
WORCESTER RGNL AP;WORCESTER;UNITED;42.2706;-71.8731;1000;-5
BALTIMORE WASH INTL AP;BALTIMORE WASH INTL AP;UNITED;39.1666;-76.6833;156;-5
HAGERSTOWN WASHINGTON CO AP;HAGERSTOWN WASHINGTON CO AP;UNITED;39.70778;-77.72972;698;-5
MD SCI CTR BALTIMORE;MARYLAND SCIENCE CENTER;UNITED;39.2814;-76.6089;20;-5
OCEAN CITY MUNI AP;OCEAN CITY MUNI AP;UNITED;38.30833;-75.12389;-99999;-5
SALISBURY WICOMICO RGNL AP;SALISBURY FAA AP;UNITED;38.34056;-75.51028;48;-5
AUGUSTA STATE AP;AUGUSTA STATE AIRPORT;UNITED;44.3155;-69.7972;351;-5
BANGOR INTL AP;BANGOR AP;UNITED;44.7978;-68.8185;148;-5
CARIBOU MUNI AP;CARIBOU WFO;UNITED;46.8705;-68.0173;624;-5
FRENCHVILLE AROOSTOOK AP;FRENCHVILLE AROOSTOOK AP;UNITED;47.28556;-68.31333;-99999;-5
FRYEBURG E SLOPES AP;FRYEBURG E SLOPES AP;UNITED;43.99056;-70.9475;445;-5
GREENVILLE MAINE FORESTRY SVC;GREENVILLE MAINE FORESTRY SVC;UNITED;45.46222;-69.59528;-99999;-5
HOULTON INTL AP;HOULTON AP;UNITED;46.1236;-67.7928;476;-5
MILLINOCKET MUNI AP;MILLINOCKET MUNI AP;UNITED;45.6477;-68.6925;406;-5
PORTLAND INTL JETPORT;PORTLAND JETPORT;UNITED;43.6497;-70.3002;45;-5
WISCASSET AP;WISCASSET AP;UNITED;43.96361;-69.71167;-99999;-5
ADRIAN LENAWEE CO AP;ADRIAN LENAWEE CO AP;UNITED;41.86778;-84.07944;796;-5
ALPENA CO RGNL AP;ALPENA CO RGNL AP;UNITED;45.0716;-83.5644;684;-5
ANN ARBOR MUNI AP;ANN ARBOR MUNI AP;UNITED;42.22278;-83.74444;-99999;-5
BATTLE CREEK KELLOGG AP;BATTLE CREEK KELLOGG AP;UNITED;42.3075;-85.25111;928;-5
BENTON HARBOR AIRPORT ASOS;BENTON HARBOR AIRPORT ASOS;UNITED;42.1256;-86.4284;643;-5
COPPER HARBOR;COPPER HARBOR;UNITED;47.46667;-87.88333;626;-5
DETROIT CITY AP;DETROIT CITY AP;UNITED;42.40917;-83.01;-99999;-5
DETROIT METRO AP;DETROIT METRO AIRPORT;UNITED;42.2313;-83.3308;631;-5
DETROIT WILLOW RUN AP;DETROIT WILLOW RUN AP;UNITED;42.23333;-83.53333;777;-5
FLINT BISHOP INTL AP;FLINT FCWOS;UNITED;42.9666;-83.7494;770;-5
GAYLORD OTSEGO CO AP;GAYLORD OTSEGO CO AP;UNITED;45.01333;-84.70139;1335;-5
GRAND RAPIDS INTL AP;GERALD R FORD INTL AP;UNITED;42.8825;-85.52389;803;-5
HANCOCK HOUGHTON CO AP;HANCOCK HOUGHTON CO AP;UNITED;47.16861;-88.48889;-99999;-5
HOLLAND TULIP CITY AP;HOLLAND TULIP CITY AP;UNITED;42.74611;-86.09667;-99999;-5
HOUGHTON LK ROSCOMMON AP;HOUGHTON ROSCOMMON AP;UNITED;44.3591;-84.6738;1151;-5
IRON MTN FORD AP;IRON MTN FORD AP;UNITED;45.81833;-88.11444;-99999;-6
JACKSON REYNOLDS FLD;JACKSON COUNTY AP;UNITED;42.2667;-84.4667;998;-5
KALAMAZOO BATTLE CK INTL AP;KALAMAZOO BATTLE CK INTL AP;UNITED;42.23472;-85.55194;868;-5
LANSING CAPITAL CITY AP;LANSING CAPITAL CY AP;UNITED;42.78028;-84.57889;841;-5
MANISTIQUE;MANISTIQUE;UNITED;45.95;-86.22972;584;-5
MUSKEGON CO AP;MUSKEGON CO AP;UNITED;43.17111;-86.23667;625;-5
PELLSTON RGNL AP;PELLSTON RGNL AP;UNITED;45.5644;-84.7927;705;-5
PONTIAC OAKLAND CO INTL AP;PONTIAC OAKLAND CO INTL AP;UNITED;42.665;-83.41806;976;-5
PORT HOPE;PORT HOPE;UNITED;44.02194;-82.79306;590;-5
SAGINAW MBS INTL AP;SAGINAW MBS INTL AP;UNITED;43.53306;-84.07972;660;-5
SAULT STE MARIE SANDERSON FLD;SAULT STE MARIE SNDRSN;UNITED;46.4794;-84.3572;722;-5
TRAVERSE CITY CHERRY CPTL AP;TRAVERSE CITY FAA AP;UNITED;44.74083;-85.5825;618;-5
ALEXANDRIA MUNI AP;ALEXANDRIA CHANDLER FLD;UNITED;45.8679;-95.3941;1416;-6
BAUDETTE INTL AP;BAUDETTE INTL AP;UNITED;48.71667;-94.6;1082;-6
BRAINERD CROW WING CO AP;BRAINERD CROW WING CO AP;UNITED;46.40472;-94.13083;1221;-6
DULUTH INTL AP;DULUTH INTL AP;UNITED;46.8369;-92.1833;1433;-6
GRAND MARAIS;GRAND MARAIS;UNITED;47.74722;-90.34444;610;-6
HIBBING CHISHOLM HIBBING AP;HIBBING CHISHOLM HIBBING AP;UNITED;47.38639;-92.83889;-99999;-6
INTL FALLS INTL AP;INTERNATIONAL FALLS AP;UNITED;48.5614;-93.3981;1183;-6
MINNEAPOLIS/ST PAUL AP;MINNEAPOLIS/ST PAUL AP;UNITED;44.8831;-93.2289;872;-6
MPLS CRYSTAL AP;MPLS CRYSTAL AP;UNITED;45.06194;-93.35083;861;-6
MPLS FLYING CLOUD AP;MPLS FLYING CLOUD AP;UNITED;44.8321;-93.4705;907;-6
PARK RAPIDS MUNI AP;PARK RAPIDS MUNI AP;UNITED;46.90056;-95.06778;1434;-6
REDWOOD FALLS MUNI AP;REDWOOD FALLS MUNI AP;UNITED;44.54833;-95.08028;1021;-6
ROCHESTER INTL AP;ROCHESTER INTL AP;UNITED;43.9041;-92.4916;1304;-6
ST CLOUD RGNL AP;ST CLOUD MUNI AP;UNITED;45.5433;-94.0513;1009;-6
ST PAUL DOWNTOWN AP;ST PAUL DOWNTOWN AP;UNITED;44.93194;-93.05556;700;-6
CAPE GIRARDEAU MUNI AP;CAPE GIRARDEAU FAA AP;UNITED;37.2252;-89.5705;336;-6
CHILLICOTHE AGRI-SCI;CHILLICOTHE AGRI-SCI;UNITED;39.82333;-93.57917;769;-6
COLUMBIA RGNL AP;COLUMBIA RGNL AP;UNITED;38.8169;-92.2183;893;-6
JEFFERSON CITY MEM AP;JEFFERSON CITY MEM AP;UNITED;38.59111;-92.15583;573;-6
JOPLIN REGIONAL  AIRPORT;JOPLIN REGIONAL  AIRPORT;UNITED;37.1466;-94.5022;980;-6
KANSAS CITY DOWNTOWN AP;KANSAS CY DOWNTOWN AP;UNITED;39.1208;-94.5969;742;-6
KANSAS CITY INTL AP;KANSAS CITY INTL AP;UNITED;39.2972;-94.7306;1005;-6
KANSAS CITY R GEBAUR AP;KANSAS CITY R GEBAUR AP;UNITED;38.84389;-94.56028;1056;-6
KIRKSVILLE RGNL AP;KIRKSVILLE RGNL AP;UNITED;40.09722;-92.54333;-99999;-6
LEES SUMMIT MUNI AP;LEES SUMMIT MUNI AP;UNITED;38.95972;-94.37139;997;-6
POPLAR BLUFF MUNI AP;POPLAR BLUFF MUNI AP;UNITED;36.7725;-90.32472;327;-6
SEDALIA MEM AP;SEDALIA MEM AP;UNITED;38.70417;-93.18333;900;-6
SPRINGFIELD RGNL AP;SPRINGFIELD WSO AP;UNITED;37.2397;-93.3897;1259;-6
ST CHARLES CO AP;ST CHARLES CO AP;UNITED;38.92861;-90.42806;-99999;-6
ST JOSEPH ROSECRANS AP;ST JOSEPH ROSECRANS MEM;UNITED;39.7736;-94.9233;818;-6
ST LOUIS LAMBERT INTL AP;ST LOUIS LAMBERT INTL AIRPORT;UNITED;38.7525;-90.3736;531;-6
ST LOUIS SPRT OF S L AP;ST LOUIS SPRT OF S L AP;UNITED;38.65722;-90.65583;462;-6
VICHY ROLLA NATIONAL AP;VICHY ROLLA NATIONAL AP;UNITED;38.13111;-91.76833;1127;-6
WEST PLAINS MUNI AP;WEST PLAINS MUNI AP;UNITED;36.87806;-91.9025;1223;-6
GREENVILLE ASOS;GREENVILLE ASOS;UNITED;33.4825;-90.98528;128;-6
GREENWOOD LEFLORE AP;GREENWOOD LEFLORE AP;UNITED;33.4963;-90.0866;133;-6
GULFPORT - BILOXI AP;GULFPORT - BILOXI AP;UNITED;30.4119;-89.0808;42;-6
HATTIESBURG CHAIN MUNI AP;HATTIESBURG CHAIN AP;UNITED;31.28194;-89.25306;151;-6
JACKSON HAWKINS FLD;JACKSON HAWKINS FLD AP;UNITED;32.33667;-90.22139;342;-6
JACKSON INTL AP;JACKSON INTL AP;UNITED;32.3205;-90.0777;330;-6
MCCOMB/PIKE CO/JOHN E LEWIS AP;MCCOMB AP;UNITED;31.1827;-90.4708;413;-6
MERIDAN JOE WILLIAMS NOLF;MERIDAN JOE WILLIAMS NOLF;UNITED;32.8;-88.83333;540;-6
MERIDIAN KEY FLD;MERIDIAN AP;UNITED;32.3347;-88.7442;294;-6
PASCAGOULA LOTT INTL AP;PASCSGOULA AP;UNITED;30.46361;-88.53194;18;-6
TUPELO RGNL AP;TUPELO RGNL AP;UNITED;34.2622;-88.7713;361;-6
BAKER MUNI AP;BAKER MUNICIPAL AIRPORT;UNITED;46.35833;-104.25;2971;-7
BILLINGS LOGAN INTL AP;BILLINGS INTL AP;UNITED;45.8069;-108.5422;3581;-7
BOZEMAN GALLATIN FLD;BOZEMAN GALLATIN FLD;UNITED;45.788;-111.1608;4427;-7
BUTTE BERT MOONEY AP;BUTTE BERT MOONEY AP;UNITED;45.9647;-112.5006;5506;-7
CUT BANK MUNI AP;CUT BANK AP;UNITED;48.6033;-112.3752;3838;-7
DILLON AP;DILLON AIRPORT;UNITED;45.2575;-112.5544;5200;-7
GLASGOW INTL AP;GLASGOW INTL AP;UNITED;48.2138;-106.6214;2285;-7
GREAT FALLS INTL AP;GREAT FALLS AP;UNITED;47.4733;-111.3822;3664;-7
HAVRE CITY CO AP;HAVRE AP ASOS;UNITED;48.5428;-109.7633;2585;-7
HELENA RGNL AP;HELENA AP ASOS;UNITED;46.6056;-111.9636;3828;-7
JORDAN AP;JORDAN AP;UNITED;47.32583;-106.9475;-99999;-7
KALISPELL GLACIER AP;KALISPELL GLACIER AP;UNITED;48.3042;-114.2636;2957;-7
LEWISTOWN MUNI AP;LEWISTOWN AP;UNITED;47.0492;-109.4578;4145;-7
LIVINGSTON MISSION FLD;LIVINGSTON AP;UNITED;45.6983;-110.4408;4643;-7
MILES CITY F WILEY FLD;MILES CITY AP;UNITED;46.4266;-105.8825;2624;-7
MISSOULA INTL AP;MISSOULA INTL AP;UNITED;46.9208;-114.0925;3192;-7
WOLF POINT INTL AP;WOLF POINT INTL AP;UNITED;48.09444;-105.57444;-99999;-7
ASHEVILLE RGNL AP;ASHEVILLE AP;UNITED;35.43194;-82.5375;2117;-5
BEAUFORT MICHAEL J SMITH FLD;BEAUFORT MICHAEL J SMITH FLD;UNITED;34.73361;-76.66056;-99999;-5
BURLINGTON ALAMANCE AP;BURLINGTON ALAMANCE AP;UNITED;36.04667;-79.47694;-99999;-5
CAPE HATTERAS AP;CAPE HATTERAS AP;UNITED;35.2326;-75.6219;11;-5
CHAPEL HILL WILLIAMS AP;CHAPEL HILL WILLIAMS AP;UNITED;35.93333;-79.06417;-99999;-5
CHARLOTTE DOUGLAS AP;CHARLOTTE DOUGLAS AP;UNITED;35.2236;-80.9552;728;-5
CHERRY POINT MCAS ASOS 2;CHERRY POINT MCAS ASOS 2;UNITED;34.88333;-76.86667;30;-5
ELIZABETH CITY CGAS;ELIZABETH CITY CGAS;UNITED;36.26056;-76.175;-99999;-5
FAYETTEVILLE POPE AFB;FAYETTEVILLE POPE AFB;UNITED;35.17389;-79.00889;218;-5
FAYETTEVILLE RGNL AP;FAYETTEVILLE RGNL AP;UNITED;34.99139;-78.88028;186;-5
GASTONIA MUNI AP;GASTONIA MUNI AP;UNITED;35.19667;-81.15583;-99999;-5
GOLDSBORO S JOHNSON AFB;GOLDSBORO 4 SE;UNITED;35.3444;-77.9647;109;-5
HICKORY FAA AP;HICKORY FAA AP;UNITED;35.7425;-81.3819;1143;-5
LAURINBURG MAXTON AP;LAURINBURG MAXTON AP;UNITED;34.79167;-79.36611;-99999;-5
LUBERTION REGIONAL AP;LUMBERTON REGIONAL AP;UNITED;34.608;-79.0591;121;-5
MONROE AP;MONROE AP;UNITED;35.01694;-80.62056;-99999;-5
NEW BERN CRAVEN CO AP;NEW BERN - ASOS;UNITED;35.0677;-77.048;19;-5
PIEDMONT TRIAD INTL AP;GREENSBORO  AP;UNITED;36.0969;-79.9432;890;-5
RALEIGH DURHAM INTL AP;RALEIGH  AP;UNITED;35.8923;-78.7819;416;-5
ROANOKE RAPIDS AP;ROANOKE RAPIDS AP;UNITED;36.43944;-77.70972;-99999;-5
ROCKY MT WILSON AP;ROCKY MT WILSON AP;UNITED;35.855;-77.89306;-99999;-5
SWANSBORO BOGUE FLD MCAF;SWANSBORO BOGUE FLD MCAF;UNITED;34.68333;-77.03333;-99999;-5
WILMINGTON INTL AP;WILMINGTON INTL AP;UNITED;34.2675;-77.8997;33;-5
WINSTON SALEM RYNLDS AP;WINSTON SALEM RYNLDS AP;UNITED;36.13361;-80.22222;-99999;-5
BISMARCK MUNI AP;BISMARCK MUNI AP;UNITED;46.7825;-100.7572;1651;-6
FARGO HECTOR INTL AP;FARGO HECTOR INTL AP;UNITED;46.92528;-96.81111;900;-6
GARRISON;GARRISON;UNITED;47.64583;-101.43944;1910;-6
GRAND FORKS INTL AP;GRAND FORKS INTL AP;UNITED;47.9428;-97.1839;842;-6
